X,Date,Project.Title,Agency,EIS.production.cost.included.on.front.cover...report...amount.or.state..no..,EJ.Community.present.,Low.Income.Community.Present.,Minority.Community.Present.,Are.there.disproportionate.impacts.,If.there.are.impacts..what.are.they.doing.to.mitigate.,Action.Type.,Decision.Type.,Notes,X.1,Total.Time.for.all.20..just.for.the.1st.20.don.t.record.how.long.the.1st.5.take.you.,Total.Time,X3.hours,X3hrs,X2.hours,X1.hr.30.min
,3/11/2016,Hawaii Volcanoes National Park Management Plan,National Park Service,no,No Mention,No Mention,No Mention,No Mention of EJ,n/a,Land Management Plan,Plan,"Says ""The devastating effects of the park’s air tours
and aviation operations are centered over
the socially and economically disadvantaged
population of the District of Puna and the
Keaukaha Hawaiian Homesteads. Yet the
topic of Environmental Justice was dismissed
from this analysis. This is another violation of
NEPA requirements.”",NA,NA,NA,NA,NA,NA,NA
,3/6/2015,Heavenly Epic Discovery Project,Forest Service,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Recreation,Project,,NA,NA,NA,NA,NA,NA,NA
,12/16/2016,Heeia National Estuarine Research Reserve,National Oceanic and Atmospheric Administration,no,Yes,No,Yes,No,n/a,Conservation/Restoration,Program,,NA,NA,NA,NA,NA,NA,NA
,3/6/2020,Huckleberry Landscape Restoration Project,Forest Service,no,Indeterminate,Indeterminate,No,Indeterminate,n/a,Conserv/Restr,Project,"Mentions low income groups but doesn't have a threshold, says people below the poverty line are more susceptible for disproportionate effects, but doesn't say if they do face them or not.",NA,NA,NA,NA,NA,NA,NA
,9/18/2020,Hungry Ridge Restoration Project,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conservation/Restoration,Project,Says no impacts but doesn't give any details about any EJ community.,NA,NA,NA,NA,NA,NA,NA
,9/6/2019,Hycroft Mine Phase II Expansion Project,Bureau of Land Management,"$208,715",No Mention,No Mention,No Mention,No Mention of EJ,n/a,Mineral Rsrc Extract,Project,,NA,NA,NA,NA,NA,NA,NA
,3/27/2020,I-15 Milepost 11 Interchange,Utah Department of Transportation,no,No,No,No,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,1/15/2016,I-70 East,Federal Highway Administration,no,Yes,Yes,Yes,Yes,CDOT will provide funding to the Community Resource Housing Develpment Corporation to assist in residential and buisness displacement. CDOT will provide 2 portable or window-mointed air contditioning units to residents close to the highway and assist in potential high utility costs. CDOT will provide contributions to existsing programs to facilitate access to fresh food. ,Transport.,Project,"Says when mitigation efforts are put into effect, there should be no disproportionate impacts. ",NA,NA,NA,NA,NA,NA,NA
,8/4/2017,I-80 and State Street Interchange,Federal Highway Administration,no,No,No,No,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,12/13/2013,Interstate 64 Peninsula from Interstate 95 in the City of Richmond to Interstate 664,Federal Highway Administration,no,Yes,Yes,Yes,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,10/24/2014,Interstate 87 (I-87) Exit 4 Access Improvements,Federal Highway Administration,no,No,No,No,No,n/a,Transport.,Project,,NA,NA,NA,NA,NA,NA,NA
,10/9/2015,Jordan Cove Energy and Pacific Connector Gas Pipeline Project,Federal Energy Regulatory Commission,no,Yes,Yes,No,No,n/a,Mineral Resource Extract,Project,,NA,NA,NA,NA,NA,NA,NA
